Time,Postmile (Abs),Postmile (CA),VDS,AggFlow,# Lane Points,% Observed
00:00,69.59,11.56,400805,36,2,100.0
00:00,67.99,9.96,400551,69,2,0.0
00:00,65.10,R7.07,401424,34,2,100.0
00:00,63.09,5.06,400287,37,2,100.0
00:00,61.06,3.03,400369,151,2,100.0
00:00,59.88,1.85,404692,33,2,100.0
00:00,59.49,R1.46,400295,52,2,100.0
00:00,58.86,R.83,407460,35,2,100.0
00:00,57.75,.6,402158,176,5,0.0
00:00,57.75,.6,402157,58,5,0.0
00:00,57.60,.45,402155,60,5,0.0
00:00,57.60,.45,402156,65,5,0.0
00:00,57.45,.3,402153,63,5,0.0
00:00,57.45,.3,402154,55,5,0.0
00:00,57.30,.15,402152,77,5,0.0
00:00,57.30,.15,402151,77,5,0.0
00:00,56.59,25,402540,86,5,0.0
00:00,56.59,25,402541,58,5,0.0
00:00,55.90,24.23,402411,48,4,100.0
00:00,55.31,23.64,401768,70,4,0.0
00:00,54.67,23,404690,63,4,0.0
00:00,54.37,22.7,404689,138,4,0.0
00:00,53.90,22.23,404687,81,4,50.0
00:00,53.57,21.9,401780,54,4,100.0
00:00,53.31,21.64,401113,98,5,100.0
00:00,53.01,21.34,405924,41,4,100.0
00:00,52.78,21.11,401718,62,5,60.0
00:00,52.18,20.51,407456,71,4,0.0
00:00,51.97,20.3,407455,63,4,0.0
00:00,51.72,20.05,407457,63,4,0.0
00:00,51.05,19.38,407452,56,3,0.0
00:00,50.60,19.09,400184,45,4,100.0
00:00,50.51,R19,401742,55,4,0.0
00:00,49.33,R17.82,401770,66,5,100.0
00:00,49.09,R17.58,401778,153,5,100.0
00:00,49.01,R17.5,401762,160,6,100.0
00:00,48.50,17.01,400505,154,5,100.0
00:00,48.30,16.81,404696,150,4,0.0
00:00,48.29,16.8,404684,161,6,50.0
00:00,47.89,16.4,404695,148,4,0.0
00:00,47.87,16.38,407464,152,4,0.0
00:00,47.54,16.05,401407,175,6,100.0
00:00,47.31,15.82,400814,273,5,80.0
00:00,46.88,15.39,400078,155,6,66.7
00:00,46.38,14.89,401542,140,6,0.0
00:00,46.02,14.53,401095,87,4,0.0
00:00,45.76,14.27,400801,71,4,100.0
00:00,45.59,14.1,404694,59,3,100.0
00:00,45.19,13.7,400025,73,5,100.0
00:00,44.85,13.36,400211,77,5,80.0
00:00,44.81,13.32,404683,108,5,0.0
00:00,44.49,13,401566,78,4,100.0
00:00,44.21,12.72,400774,177,5,60.0
00:00,43.61,12.24,400303,85,4,0.0
00:00,43.46,12.09,400150,81,4,100.0
00:00,43.31,11.94,400785,282,4,100.0
00:00,43.17,11.8,401373,65,3,100.0
00:00,42.77,11.4,400933,76,4,100.0
00:00,42.59,11.22,400636,101,4,0.0
00:00,42.18,10.81,401444,103,4,0.0
00:00,41.86,R10.49,401924,74,4,100.0
00:00,41.62,R10.25,401724,75,4,100.0
00:00,41.28,9.91,407462,98,4,0.0
00:00,40.68,9.31,407463,97,4,0.0
